route_key	major	minor	n_events	n_blocks	min_loss	blocks
2_0.1	2	0	1	0	-1	
2_1.1	2	1	1	0	-1	
2_2.1	2	2	2	1	0	1+2/0
3_0.1	3	0	2	0	-1	
3_1.1	3	1	2	0	-1	
3_2.1	3	2	3	2	0	1+2/0;2+2/1
3_2.2	3	2	3	1	0	1+2/0
3_3.1	3	3	4	2	0	1+2/0;2+2/1
3_3.2	3	3	4	1	1	2+2/1
4_0.1	4	0	3	0	-1	
4_0.2	4	0	3	1	0	2+2/0
4_1.1	4	1	3	0	-1	
4_1.2	4	1	3	1	1	2+2/1
4_2.1	4	2	4	1	0	1+2/0
4_2.2	4	2	4	1	0	1+2/0
4_2.3	4	2	4	1	1	2+2/1
4_2.4	4	2	4	3	0	1+2/0;2+2/1;2+3/0
4_2.5	4	2	4	2	0	1+2/0;2+2/1
4_3.1	4	3	5	2	0	1+2/0;2+2/1
4_3.10	4	3	5	2	0	1+2/0;2+2/1
4_3.2	4	3	5	2	0	1+2/0;3+3/1
4_3.3	4	3	5	1	1	2+2/1
4_3.4	4	3	5	1	0	1+2/0
4_3.5	4	3	5	1	1	2+2/1
4_3.6	4	3	5	1	1	2+2/1
4_3.7	4	3	5	1	0	1+2/0
4_3.8	4	3	5	3	0	1+2/0;2+2/1;3+3/1
4_3.9	4	3	5	2	0	2+2/1;2+3/0
4_4.1	4	4	6	2	0	1+2/0;2+2/1
4_4.10	4	4	6	2	0	2+2/1;2+3/0
4_4.11	4	4	6	2	0	1+2/0;2+2/1
4_4.12	4	4	6	3	0	1+2/0;2+2/1;3+3/1
4_4.13	4	4	6	1	0	1+2/0
4_4.14	4	4	6	1	1	2+2/1
4_4.15	4	4	6	1	1	2+2/1
4_4.16	4	4	6	0	-1	
4_4.17	4	4	6	2	0	2+2/1;2+3/0
4_4.18	4	4	6	0	-1	
4_4.19	4	4	6	2	0	2+2/1;2+3/0
4_4.2	4	4	6	4	0	1+2/0;2+2/1;2+3/0;3+3/1
4_4.3	4	4	6	2	0	1+2/0;2+2/1
4_4.4	4	4	6	5	0	1+2/0;2+2/1;2+3/0;3+3/1;3+4/0
4_4.5	4	4	6	2	0	1+2/0;3+3/1
4_4.6	4	4	6	2	0	1+2/0;3+3/1
4_4.7	4	4	6	1	1	2+2/1
4_4.8	4	4	6	1	1	2+2/1
4_4.9	4	4	6	2	0	2+2/1;2+3/0
5_0.1	5	0	4	0	-1	
5_0.2	5	0	4	1	1	3+2/1
5_0.3	5	0	4	1	0	2+2/0
5_0.4	5	0	4	2	0	2+2/0;3+2/1
5_1.1	5	1	4	0	-1	
5_1.2	5	1	4	0	-1	
5_1.3	5	1	4	1	1	2+2/1
5_1.4	5	1	4	1	1	2+2/1
5_2.1	5	2	5	0	-1	
5_2.10	5	2	5	1	0	1+2/0
5_2.11	5	2	5	1	0	1+2/0
5_2.12	5	2	5	1	0	1+2/0
5_2.2	5	2	5	2	1	2+2/1;3+3/1
5_2.3	5	2	5	3	0	2+2/1;2+3/0;3+3/1
5_2.4	5	2	5	3	0	1+2/0;2+2/1;2+3/0
5_2.5	5	2	5	2	0	1+2/0;2+2/1
5_2.6	5	2	5	2	0	1+2/0;2+2/1
5_2.7	5	2	5	3	0	1+2/0;2+2/1;2+3/0
5_2.8	5	2	5	1	1	2+2/1
5_2.9	5	2	5	1	0	1+2/0
5_3.1	5	3	6	1	0	1+2/0
5_3.10	5	3	6	1	1	2+2/1
5_3.11	5	3	6	3	0	1+2/0;2+2/1;3+3/1
